Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Convex_Hull_Volume,Surface_Area,Concavity,Target
5.454702959609517565e-01,1.530820950661285033e-02,1.286048404872417450e-01,1.732383295893669128e-01,1.710000038146972656e-01,1.179002043938596643e-03,1.732383295893669128e-01,1.286048404872417450e-01,2.602085213965210642e-18,1.615781712395960787e-02,1.351983443037304999e+00,2.059001826933798754e-03,0.000000000000000000e+00
5.383976247798064607e-01,1.181143828791359450e-02,1.518079936504364014e-01,1.796207427978515625e-01,1.840000152587890625e-01,1.699072980746012436e-03,1.840000152587890625e-01,1.518079936504364014e-01,-2.168404344971008868e-19,1.950110798147203228e-02,1.265301238033595066e+00,3.066365423185856733e-03,0.000000000000000000e+00
5.400677185517843704e-01,1.181156515492998334e-02,1.544962599873542786e-01,1.797996908426284790e-01,1.840000152587890625e-01,1.701038876045431712e-03,1.840000152587890625e-01,1.544962599873542786e-01,-8.673617379884035472e-19,1.937357156509768308e-02,1.274121753347835950e+00,3.069234152118249966e-03,0.000000000000000000e+00
5.387869518473727970e-01,1.299267808747805487e-02,1.538628190755844116e-01,1.797996908426284790e-01,1.829999983310699463e-01,1.708046165552244396e-03,1.829999983310699463e-01,1.538628190755844116e-01,0.000000000000000000e+00,1.944049487289565420e-02,1.271476763394166376e+00,3.048320017700625450e-03,0.000000000000000000e+00
5.369595153243063024e-01,1.260767985724119827e-02,1.520702093839645386e-01,1.800979375839233398e-01,1.840000152587890625e-01,1.691747712514565533e-03,1.840000152587890625e-01,1.520702093839645386e-01,2.385244779468109755e-18,1.934869493906127974e-02,1.273432894583625963e+00,3.056280019228048168e-03,0.000000000000000000e+00
5.351526780567084085e-01,1.197747944423499869e-02,1.516039520502090454e-01,1.801576018333435059e-01,1.840000152587890625e-01,1.704494778896861046e-03,1.840000152587890625e-01,1.516039520502090454e-01,1.084202172485504434e-18,1.946440835764999544e-02,1.269033908424573864e+00,3.127188312970684888e-03,0.000000000000000000e+00
5.340368504698491670e-01,1.191362442249007184e-02,1.406840756535530090e-01,1.801576018333435059e-01,1.629999876022338867e-01,9.523108738072916550e-04,1.801576018333435059e-01,1.406840756535530090e-01,1.084202172485504434e-19,1.351509644609859805e-02,1.505299696350372640e+00,3.049192757026075121e-03,0.000000000000000000e+00
5.369121737302259278e-01,1.231769545227344269e-02,1.535625606775283813e-01,1.797400265932083130e-01,1.850000321865081787e-01,1.703043775578562532e-03,1.850000321865081787e-01,1.535625606775283813e-01,0.000000000000000000e+00,1.943652632970518587e-02,1.270493638913047896e+00,3.041324102991179584e-03,0.000000000000000000e+00
5.336763154226414896e-01,1.287916936473288906e-02,1.405227482318878174e-01,1.800979375839233398e-01,1.629999876022338867e-01,9.424809258959128801e-04,1.800979375839233398e-01,1.405227482318878174e-01,3.252606517456513302e-19,1.342684459147687123e-02,1.509962296503187362e+00,3.048202271744196012e-03,0.000000000000000000e+00
5.323545682072329255e-01,1.219927906288256064e-02,1.404924094676971436e-01,1.806944683194160461e-01,1.640000045299530029e-01,9.529239885134400999e-04,1.806944683194160461e-01,1.404924094676971436e-01,2.168404344971008868e-19,1.350561132579033291e-02,1.506680086538817465e+00,3.055774556559586429e-03,0.000000000000000000e+00
5.328410585879538308e-01,1.183334879243418819e-02,1.405325606465339661e-01,1.801346540451049805e-01,1.629999876022338867e-01,9.380917423459489814e-04,1.801346540451049805e-01,1.405325606465339661e-01,-3.252606517456513302e-19,1.336409455278931083e-02,1.514693541140758493e+00,3.040582500104013763e-03,0.000000000000000000e+00
5.192090850460782114e-01,1.329664273134553709e-02,1.889155507087707520e-01,1.785153597593307495e-01,1.159999966621398926e-01,7.922093686489954352e-04,1.889155507087707520e-01,1.159999966621398926e-01,6.505213034913026604e-19,1.166500870248167974e-02,1.640252845104535728e+00,3.273156647210595169e-03,0.000000000000000000e+00
5.192983862473908863e-01,1.305859542060250691e-02,1.858734712004661560e-01,1.786968782544136047e-01,1.159999966621398926e-01,8.091779092243416580e-04,1.858734712004661560e-01,1.159999966621398926e-01,5.421010862427522170e-19,1.178213478249468329e-02,1.635459880529158250e+00,3.249555680818593667e-03,0.000000000000000000e+00
5.183664948178039467e-01,1.296352087745349622e-02,1.872122138738632202e-01,1.783680617809295654e-01,1.150000095367431641e-01,7.930018185902094983e-04,1.872122138738632202e-01,1.150000095367431641e-01,3.252606517456513302e-19,1.171133081606178308e-02,1.634309685066369200e+00,3.292959702421344864e-03,0.000000000000000000e+00
5.190736136214222363e-01,1.327463705776867238e-02,1.864315792918205261e-01,1.783680617809295654e-01,1.150000095367431641e-01,8.006802889898633011e-04,1.864315792918205261e-01,1.150000095367431641e-01,-4.336808689942017736e-19,1.183451850442770320e-02,1.622501081199677841e+00,3.265820244580882031e-03,0.000000000000000000e+00
5.188211379108568222e-01,1.293884113712766813e-02,1.880698129534721375e-01,1.783680617809295654e-01,1.159999966621398926e-01,8.545787079146737559e-04,1.880698129534721375e-01,1.159999966621398926e-01,-2.168404344971008868e-19,1.235110111419039126e-02,1.588769477083266990e+00,3.285693610711325815e-03,0.000000000000000000e+00
5.191794683325574589e-01,1.304556319981732375e-02,1.858734712004661560e-01,1.788784042000770569e-01,1.170000135898590088e-01,8.469813555090298894e-04,1.858734712004661560e-01,1.170000135898590088e-01,-1.084202172485504434e-19,1.233061533337114976e-02,1.586679007825423593e+00,3.254451253423393167e-03,0.000000000000000000e+00
5.194440839155433087e-01,1.312076752552208611e-02,1.853179410099983215e-01,1.783338263630867004e-01,1.159999966621398926e-01,8.021242576613243306e-04,1.853179410099983215e-01,1.159999966621398926e-01,3.252606517456513302e-19,1.181110780442480059e-02,1.626693727873412598e+00,3.264121281662431262e-03,0.000000000000000000e+00
5.190537789540434765e-01,1.281255562480234506e-02,1.858590617775917053e-01,1.785153597593307495e-01,1.169999837875366211e-01,7.860407006876853932e-04,1.858590617775917053e-01,1.169999837875366211e-01,0.000000000000000000e+00,1.165117175326866629e-02,1.637927278573259482e+00,3.235301059559254986e-03,0.000000000000000000e+00
5.192843008677656691e-01,1.313172019537751749e-02,1.858032271265983582e-01,1.784527003765106201e-01,1.159999966621398926e-01,7.991844763416707355e-04,1.858032271265983582e-01,1.159999966621398926e-01,-4.336808689942017736e-19,1.182092897795679332e-02,1.623354168771842465e+00,3.245718790257340336e-03,0.000000000000000000e+00
5.181425366841173608e-01,1.276347238664544102e-02,1.867454871535301208e-01,1.783680617809295654e-01,1.169999837875366211e-01,8.347979633858776611e-04,1.867454871535301208e-01,1.169999837875366211e-01,-6.505213034913026604e-19,1.216404657712989376e-02,1.600656937912413369e+00,3.265461032221297563e-03,0.000000000000000000e+00
4.391294384964406494e-01,1.299749088291744618e-02,1.990603879094123840e-01,1.779676377773284912e-01,1.360000073909759521e-01,1.228608859423954269e-03,1.990603879094123840e-01,1.360000073909759521e-01,-8.673617379884035472e-19,1.541167511777656422e-02,1.437045693936716440e+00,3.130886100362230504e-03,0.000000000000000000e+00
4.404138888978883504e-01,1.306174394927838052e-02,2.186215966939926147e-01,1.770942285656929016e-01,1.340000033378601074e-01,1.294328061738409278e-03,2.186215966939926147e-01,1.340000033378601074e-01,-6.505213034913026604e-19,1.534611494237793534e-02,1.468471597815389718e+00,3.174040792005498011e-03,0.000000000000000000e+00
4.399798659871847484e-01,1.286812848277742692e-02,1.988327056169509888e-01,1.767414584755897522e-01,1.350000202655792236e-01,1.296988109010569889e-03,1.988327056169509888e-01,1.350000202655792236e-01,2.168404344971008868e-19,1.586888628629079881e-02,1.421067669251722565e+00,3.149919153059735615e-03,0.000000000000000000e+00
4.397905413847506551e-01,1.282611669148450879e-02,2.158980444073677063e-01,1.776097267866134644e-01,1.340000331401824951e-01,1.226328873448940399e-03,2.158980444073677063e-01,1.340000331401824951e-01,-6.505213034913026604e-19,1.492098329665276363e-02,1.483385681187651794e+00,3.134322136386110454e-03,0.000000000000000000e+00
4.393095694593776024e-01,1.272862164436486428e-02,1.990794166922569275e-01,1.777886748313903809e-01,6.200000643730163574e-02,6.575406474266765836e-04,1.990794166922569275e-01,6.200000643730163574e-02,8.673617379884035472e-19,9.949170598157076190e-03,1.807326151362141253e+00,3.093062580737388455e-03,0.000000000000000000e+00
4.391892183511948988e-01,1.288881749519216191e-02,1.990603879094123840e-01,1.774307712912559509e-01,6.200000643730163574e-02,5.876004494408600424e-04,1.990603879094123840e-01,6.200000643730163574e-02,2.168404344971008868e-19,9.032044557447398495e-03,1.917596274152301827e+00,3.095072658519084242e-03,0.000000000000000000e+00
4.400610065922990199e-01,1.279176655907462469e-02,2.165582850575447083e-01,1.774307712912559509e-01,1.350000202655792236e-01,1.360919341042242988e-03,2.165582850575447083e-01,1.350000202655792236e-01,-2.168404344971008868e-19,1.591393313762862194e-02,1.439955735047606655e+00,3.172814421565284346e-03,0.000000000000000000e+00
4.397561812340577414e-01,1.268082858400181208e-02,2.175377085804939270e-01,1.779676377773284912e-01,1.360000073909759521e-01,1.395901052671749730e-03,2.175377085804939270e-01,1.360000073909759521e-01,1.951563910473907981e-18,1.601972794090298496e-02,1.442598969002059084e+00,3.151236241657657828e-03,0.000000000000000000e+00
4.412687547757291884e-01,1.294798774423938127e-02,2.248807251453399658e-01,1.776097267866134644e-01,1.369999945163726807e-01,1.425070960450387260e-03,2.248807251453399658e-01,1.369999945163726807e-01,-2.168404344971008868e-18,1.632350070581047030e-02,1.425546549577656030e+00,3.151194415722755222e-03,0.000000000000000000e+00
4.395084244497133863e-01,1.278816923947478576e-02,1.990603879094123840e-01,1.776097267866134644e-01,6.200000643730163574e-02,6.511224843087440057e-04,1.990603879094123840e-01,6.200000643730163574e-02,5.421010862427522170e-19,9.819611911495862086e-03,1.825194349676557914e+00,3.093692556205634818e-03,0.000000000000000000e+00
2.019906788271965403e-01,1.285518408040049743e-02,1.802949085831642151e-01,1.794942393898963928e-01,1.080000102519989014e-01,8.354849544261833214e-04,1.802949085831642151e-01,1.080000102519989014e-01,-1.084202172485504434e-19,1.208667003670173441e-02,1.611345809075705349e+00,3.172608810926322992e-03,0.000000000000000000e+00
2.027271357827363507e-01,1.308673353089304797e-02,1.803216636180877686e-01,1.794340610504150391e-01,1.080000102519989014e-01,8.652793513803052174e-04,1.803216636180877686e-01,1.080000102519989014e-01,-6.505213034913026604e-19,1.246858086621297282e-02,1.580341564330027815e+00,3.160787560849930705e-03,0.000000000000000000e+00
2.019790051251928731e-01,1.297261925637273501e-02,2.137774154543876648e-01,1.796788573265075684e-01,1.060000061988830566e-01,1.089082243994659227e-03,2.137774154543876648e-01,1.060000061988830566e-01,0.000000000000000000e+00,1.426815764572210432e-02,1.491082027579883729e+00,3.219349685002610879e-03,0.000000000000000000e+00
2.045788417360757672e-01,1.307469272414957424e-02,2.196102514863014221e-01,1.788554564118385315e-01,1.490000188350677490e-01,1.750337201272638343e-03,2.196102514863014221e-01,1.490000188350677490e-01,4.336808689942017736e-19,1.917657028293116850e-02,1.299527617213491304e+00,3.258680067150769664e-03,0.000000000000000000e+00
