@relation 'database2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13'

@attribute Mean_Nx numeric
@attribute Mean_Ny numeric
@attribute Mean_Nz numeric
@attribute Mean_Curvature numeric
@attribute OBB_Width numeric
@attribute OBB_Height numeric
@attribute OBB_Depth numeric
@attribute Major_Axis_Horizontal numeric
@attribute Major_Axis_Vertical numeric
@attribute Convex_Hull_Volume numeric
@attribute Surface_Area numeric
@attribute Concavity numeric
@attribute Target numeric

@data
0.521986,0.015371,0.130532,0.172917,0.157,0.000914,0.172917,0.130532,0,0.015133,1.32635,0.002062,0
0.550789,0.015014,0.130012,0.172134,0.159,0.000907,0.172134,0.130012,0,0.015005,1.333894,0.002053,0
0.521205,0.015247,0.129697,0.173054,0.156,0.000877,0.173054,0.129697,-0,0.014701,1.346431,0.002036,0
0.554264,0.015592,0.129697,0.172502,0.175,0.001179,0.175,0.129697,0,0.016125,1.354616,0.002047,0
0.550633,0.015814,0.128508,0.17347,0.158,0.000888,0.17347,0.128508,0,0.014754,1.346931,0.002049,0
0.555783,0.014767,0.132849,0.172686,0.18,0.001298,0.18,0.132849,-0,0.016953,1.330741,0.002049,0
0.52118,0.015425,0.168271,0.17287,0.175,0.001528,0.175,0.168271,-0,0.018411,1.293548,0.002075,0
0.535469,0.015354,0.159665,0.172318,0.172,0.001461,0.172318,0.159665,0,0.018514,1.267462,0.002073,0
0.543527,0.014932,0.127635,0.172733,0.172,0.001155,0.172733,0.127635,0,0.01599,1.356892,0.002056,0
0.54547,0.015308,0.128605,0.173238,0.171,0.001179,0.173238,0.128605,0,0.016158,1.351983,0.002059,0
0.538398,0.011811,0.151808,0.179621,0.184,0.001699,0.184,0.151808,-0,0.019501,1.265301,0.003066,0
0.540068,0.011812,0.154496,0.1798,0.184,0.001701,0.184,0.154496,-0,0.019374,1.274122,0.003069,0
0.538787,0.012993,0.153863,0.1798,0.183,0.001708,0.183,0.153863,0,0.01944,1.271477,0.003048,0
0.53696,0.012608,0.15207,0.180098,0.184,0.001692,0.184,0.15207,0,0.019349,1.273433,0.003056,0
0.535153,0.011977,0.151604,0.180158,0.184,0.001704,0.184,0.151604,0,0.019464,1.269034,0.003127,0
0.534037,0.011914,0.140684,0.180158,0.163,0.000952,0.180158,0.140684,0,0.013515,1.5053,0.003049,0
0.536912,0.012318,0.153563,0.17974,0.185,0.001703,0.185,0.153563,0,0.019437,1.270494,0.003041,0
0.533676,0.012879,0.140523,0.180098,0.163,0.000942,0.180098,0.140523,0,0.013427,1.509962,0.003048,0
0.532355,0.012199,0.140492,0.180694,0.164,0.000953,0.180694,0.140492,0,0.013506,1.50668,0.003056,0
0.532841,0.011833,0.140533,0.180135,0.163,0.000938,0.180135,0.140533,-0,0.013364,1.514694,0.003041,0
0.519209,0.013297,0.188916,0.178515,0.116,0.000792,0.188916,0.116,0,0.011665,1.640253,0.003273,0
0.519298,0.013059,0.185873,0.178697,0.116,0.000809,0.185873,0.116,0,0.011782,1.63546,0.00325,0
0.518366,0.012964,0.187212,0.178368,0.115,0.000793,0.187212,0.115,0,0.011711,1.63431,0.003293,0
0.519074,0.013275,0.186432,0.178368,0.115,0.000801,0.186432,0.115,-0,0.011835,1.622501,0.003266,0
0.518821,0.012939,0.18807,0.178368,0.116,0.000855,0.18807,0.116,-0,0.012351,1.588769,0.003286,0
0.519179,0.013046,0.185873,0.178878,0.117,0.000847,0.185873,0.117,-0,0.012331,1.586679,0.003254,0
0.519444,0.013121,0.185318,0.178334,0.116,0.000802,0.185318,0.116,0,0.011811,1.626694,0.003264,0
0.519054,0.012813,0.185859,0.178515,0.117,0.000786,0.185859,0.117,0,0.011651,1.637927,0.003235,0
0.519284,0.013132,0.185803,0.178453,0.116,0.000799,0.185803,0.116,-0,0.011821,1.623354,0.003246,0
0.518143,0.012763,0.186745,0.178368,0.117,0.000835,0.186745,0.117,-0,0.012164,1.600657,0.003265,0
0.439129,0.012997,0.19906,0.177968,0.136,0.001229,0.19906,0.136,-0,0.015412,1.437046,0.003131,0
0.440414,0.013062,0.218622,0.177094,0.134,0.001294,0.218622,0.134,-0,0.015346,1.468472,0.003174,0
0.43998,0.012868,0.198833,0.176741,0.135,0.001297,0.198833,0.135,0,0.015869,1.421068,0.00315,0
0.439791,0.012826,0.215898,0.17761,0.134,0.001226,0.215898,0.134,-0,0.014921,1.483386,0.003134,0
0.43931,0.012729,0.199079,0.177789,0.062,0.000658,0.199079,0.062,0,0.009949,1.807326,0.003093,0
0.439189,0.012889,0.19906,0.177431,0.062,0.000588,0.19906,0.062,0,0.009032,1.917596,0.003095,0
0.440061,0.012792,0.216558,0.177431,0.135,0.001361,0.216558,0.135,-0,0.015914,1.439956,0.003173,0
0.439756,0.012681,0.217538,0.177968,0.136,0.001396,0.217538,0.136,0,0.01602,1.442599,0.003151,0
0.441269,0.012948,0.224881,0.17761,0.137,0.001425,0.224881,0.137,-0,0.016324,1.425547,0.003151,0
0.439508,0.012788,0.19906,0.17761,0.062,0.000651,0.19906,0.062,0,0.00982,1.825194,0.003094,0
0.201991,0.012855,0.180295,0.179494,0.108,0.000835,0.180295,0.108,-0,0.012087,1.611346,0.003173,0
0.202727,0.013087,0.180322,0.179434,0.108,0.000865,0.180322,0.108,-0,0.012469,1.580342,0.003161,0
0.201979,0.012973,0.213777,0.179679,0.106,0.001089,0.213777,0.106,0,0.014268,1.491082,0.003219,0
0.204579,0.013075,0.21961,0.178855,0.149,0.00175,0.21961,0.149,0,0.019177,1.299528,0.003259,0
0.207163,0.012962,0.181734,0.180087,0.153,0.001607,0.181734,0.153,-0,0.018724,1.293644,0.003241,0
0.204236,0.012877,0.182945,0.179494,0.163,0.001709,0.182945,0.163,0,0.019532,1.265731,0.00325,0
0.202549,0.01261,0.180958,0.178634,0.107,0.000938,0.180958,0.107,0,0.01333,1.518616,0.003144,0
0.206053,0.013089,0.180243,0.178997,0.106,0.000838,0.180243,0.106,-0,0.012157,1.603489,0.003156,0
0.203307,0.012884,0.211606,0.179037,0.107,0.001044,0.211606,0.107,0,0.013807,1.519349,0.003181,0
0.20568,0.013073,0.184783,0.178997,0.107,0.001029,0.184783,0.107,0,0.014315,1.458159,0.003194,0
0.025168,0.011315,0.147766,0.179241,0.197,0.001196,0.197,0.147766,0,0.01538,1.427278,0.00307,0
0.025729,0.011431,0.147007,0.17843,0.185,0.0012,0.185,0.147007,0,0.015439,1.423453,0.003079,0
0.024822,0.011641,0.147448,0.1794,0.19,0.001164,0.19,0.147448,-0,0.015044,1.446035,0.003095,0
0.02639,0.011691,0.147033,0.178173,0.186,0.001185,0.186,0.147033,-0,0.015264,1.433567,0.003081,0
0.025513,0.011784,0.147007,0.178878,0.184,0.001153,0.184,0.147007,0,0.014974,1.448083,0.003067,0
0.028297,0.011905,0.145841,0.178896,0.184,0.001141,0.184,0.145841,0,0.014888,1.451464,0.003071,0
0.025013,0.011646,0.143745,0.179037,0.183,0.001158,0.183,0.143745,-0,0.015115,1.436512,0.003094,0
