Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
1.278996645004993882e-01,7.944633724098729144e-02,6.354312032737885474e-01,1.519883086366517408e-02,7.658724021166563034e-02,1.975717730820178986e-01,4.500001668930053711e-02,7.808143274241953480e-02,1.991769845721306775e-01,5.528646305917728210e-02,1.991769845721306775e-01,5.528646305917728210e-02,0.000000000000000000e+00
1.297409363445533870e-01,8.069823960770597382e-02,6.665887014483290463e-01,2.085886001071983464e-02,7.795445155352354050e-02,1.981593966484069824e-01,4.500001668930053711e-02,7.871614816577673923e-02,1.988974788298158713e-01,5.727369511087976317e-02,1.988974788298158713e-01,5.727369511087976317e-02,0.000000000000000000e+00
1.289515888893871254e-01,8.034935854442257219e-02,6.685720441899603017e-01,2.080583351738779160e-02,7.795445155352354050e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.894544896582311733e-02,1.994743972406074761e-01,5.742545687360933737e-02,1.994743972406074761e-01,5.742545687360933737e-02,0.000000000000000000e+00
1.445706828030811630e-01,7.387264612014475540e-02,5.296528452176263446e-01,8.655557387013984583e-03,7.788712903857231140e-02,1.960947252810001373e-01,4.299998283386230469e-02,8.335225484320775424e-02,2.000993659452622864e-01,5.650794164898076399e-02,2.000993659452622864e-01,5.650794164898076399e-02,0.000000000000000000e+00
1.345927331528772031e-01,7.459948883509008588e-02,5.456913834940115837e-01,8.719496233622602357e-03,7.786565460264682770e-02,1.975615099072456360e-01,4.299998283386230469e-02,8.032730761922350637e-02,1.997984926685771323e-01,5.655312835920522918e-02,1.997984926685771323e-01,5.655312835920522918e-02,0.000000000000000000e+00
1.300259182146617509e-01,7.779101090493659165e-02,5.918475539961044474e-01,1.188831896181070241e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.299998283386230469e-02,8.286707217499016120e-02,2.013367945162462813e-01,5.711579276677980488e-02,2.013367945162462813e-01,5.711579276677980488e-02,0.000000000000000000e+00
1.332138332432883099e-01,7.770363280953274110e-02,5.896539300897818414e-01,1.194102880487737418e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.499998688697814941e-02,8.166508699182890851e-02,2.006308284806058995e-01,5.748719409890634680e-02,2.006308284806058995e-01,5.748719409890634680e-02,0.000000000000000000e+00
1.192855805502754385e-01,8.232482367997241701e-02,6.364138286538907341e-01,1.529805840420291746e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.600000381469726562e-02,8.221372063847436074e-02,2.010765043364381444e-01,5.216226879294560970e-02,2.010765043364381444e-01,5.216226879294560970e-02,0.000000000000000000e+00
1.303241797459282203e-01,8.168534459560856942e-02,6.277175476193788128e-01,1.524104643869766788e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.699999094009399414e-02,7.885540866554160977e-02,1.984276539457356936e-01,5.219253897062936520e-02,1.984276539457356936e-01,5.219253897062936520e-02,0.000000000000000000e+00
1.203730133065721020e-01,8.395201649051908799e-02,6.745171393758915279e-01,2.090213544887199043e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.699999094009399414e-02,7.882705173396883924e-02,1.990493848827811496e-01,5.204743922830223912e-02,1.990493848827811496e-01,5.204743922830223912e-02,0.000000000000000000e+00
1.201453907662193288e-01,8.386738383737310509e-02,6.747159026462087317e-01,2.082243409587104452e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.699999094009399414e-02,8.038669707067717940e-02,2.001473915528443892e-01,5.184712468078089831e-02,2.001473915528443892e-01,5.184712468078089831e-02,0.000000000000000000e+00
1.357333454592264121e-01,7.385428707734145726e-02,5.607405874513025079e-01,8.720663017291236177e-03,7.895944640040397644e-02,1.976677663624286652e-01,4.699999094009399414e-02,8.043529150057571186e-02,1.993135733228878492e-01,5.682940395473778938e-02,1.993135733228878492e-01,5.682940395473778938e-02,0.000000000000000000e+00
1.575377643515697146e-01,7.089986797730475632e-02,5.253270455486851453e-01,8.223066819686019810e-03,7.515118457376956940e-02,1.979633606970310211e-01,4.699999094009399414e-02,7.987820946278420542e-02,2.009397836634051471e-01,5.689996837618072067e-02,2.009397836634051471e-01,5.689996837618072067e-02,0.000000000000000000e+00
1.245729748882193066e-01,7.723683107104957479e-02,5.950391416783886722e-01,1.201966187198581781e-02,7.963970676064491272e-02,1.983480229973793030e-01,4.600000381469726562e-02,8.524688169957338191e-02,2.027539748174442547e-01,5.632692561274332821e-02,2.027539748174442547e-01,5.632692561274332821e-02,0.000000000000000000e+00
1.298686428287169348e-01,7.589827730570838926e-02,5.867330033009604540e-01,1.191454196366817722e-02,7.912897691130638123e-02,1.982537098228931427e-01,4.699999094009399414e-02,8.376485247485845886e-02,1.988876774073431719e-01,6.172731883133786290e-02,1.988876774073431719e-01,6.172731883133786290e-02,0.000000000000000000e+00
1.310598734817039202e-01,7.773952959008724461e-02,6.237003805173130244e-01,1.496538275097545473e-02,7.893037330359220505e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.126826986920107632e-02,1.991162199049303083e-01,5.660862221606244304e-02,1.991162199049303083e-01,5.660862221606244304e-02,0.000000000000000000e+00
1.291392533015024990e-01,8.191462914782939031e-02,6.263123748759031884e-01,1.532667748868458621e-02,7.893294934183359146e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.041547729937564837e-02,2.000913447400672340e-01,5.122415465089302788e-02,2.000913447400672340e-01,5.122415465089302788e-02,0.000000000000000000e+00
1.207948534867913093e-01,8.115120506517882470e-02,6.683939275332355656e-01,2.086433646518668847e-02,7.963970676064491272e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.377847349144142142e-02,2.019474476061112467e-01,5.394047249736899641e-02,2.019474476061112467e-01,5.394047249736899641e-02,0.000000000000000000e+00
1.195794818929083875e-01,8.238096981470220681e-02,6.698383517153354560e-01,2.081192634135024810e-02,7.963970676064491272e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.381933301291843996e-02,2.018506535115951739e-01,5.573956525595558098e-02,2.018506535115951739e-01,5.573956525595558098e-02,0.000000000000000000e+00
1.370855377336561154e-01,7.593525396402314720e-02,5.502384199574187340e-01,8.810723184762364601e-03,7.824811432510614395e-02,1.978604532778263092e-01,4.499998688697814941e-02,8.201399198848070837e-02,2.008654617471779535e-01,6.571232973996887772e-02,2.008654617471779535e-01,6.571232973996887772e-02,0.000000000000000000e+00
1.239489977108324120e-01,7.535966086144040010e-02,5.664942078548866888e-01,9.012426755186667138e-03,7.757455203682184219e-02,1.968812532722949982e-01,4.499998688697814941e-02,7.985340113168264142e-02,1.977822340221455089e-01,5.667284066702904521e-02,1.977822340221455089e-01,5.667284066702904521e-02,0.000000000000000000e+00
1.198397711518674191e-01,7.913648531798965491e-02,6.084209575583133800e-01,1.227662714544508656e-02,7.824811432510614395e-02,1.976660862565040588e-01,4.499998688697814941e-02,8.395399542571289897e-02,2.021355369072096175e-01,5.447935899941480642e-02,2.021355369072096175e-01,5.447935899941480642e-02,0.000000000000000000e+00
1.249110715378884129e-01,8.153678295587329927e-02,6.048418984242769358e-01,1.200275274007379066e-02,7.824811432510614395e-02,1.971682384610176086e-01,4.499998688697814941e-02,8.025853079611096341e-02,1.990480717236253749e-01,5.589034167759188154e-02,1.990480717236253749e-01,5.589034167759188154e-02,0.000000000000000000e+00
1.153827273811379450e-01,8.507599898867641841e-02,6.404910068099125553e-01,1.550200653216228346e-02,7.824811432510614395e-02,1.979547664523124695e-01,4.499998688697814941e-02,8.388352522519380849e-02,2.023932091762823127e-01,6.291661077943377922e-02,2.023932091762823127e-01,6.291661077943377922e-02,0.000000000000000000e+00
1.091774308503710988e-01,8.461584519703352347e-02,6.451713777845645703e-01,1.537574016079065221e-02,7.822496443986892700e-02,1.973671466112136841e-01,4.499998688697814941e-02,8.273253922497392221e-02,2.012522707158095614e-01,6.016774526200441287e-02,2.012522707158095614e-01,6.016774526200441287e-02,0.000000000000000000e+00
1.102774974653275425e-01,8.448427461386712189e-02,6.805068556539254354e-01,2.091996343433771485e-02,7.824811432510614395e-02,1.979547664523124695e-01,4.499998688697814941e-02,8.175426541129550417e-02,2.010134102645545484e-01,5.708660213499860969e-02,2.010134102645545484e-01,5.708660213499860969e-02,0.000000000000000000e+00
1.089376357558621139e-01,8.491851300161729066e-02,6.813195212944149759e-01,2.091106426492798237e-02,7.824811432510614395e-02,1.979547664523124695e-01,4.499998688697814941e-02,8.251709827018366417e-02,2.015251889554341425e-01,5.649524555959928307e-02,2.015251889554341425e-01,5.649524555959928307e-02,0.000000000000000000e+00
