Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
2.491607755325657425e-02,6.904707813833500796e-02,6.506559549351512706e-01,5.269350429600904231e-03,6.674994826316833496e-01,5.204830020666122437e-01,3.179999887943267822e-01,1.011224651565864940e+00,1.017497984699088365e+00,8.022251793784173080e-01,1.017497984699088365e+00,8.022251793784173080e-01,7.000000000000000000e+00
3.006109225090003098e-02,7.161380680091007644e-02,6.698843645477826625e-01,6.058147760761484896e-03,6.708683371543884277e-01,5.183129906654357910e-01,3.179999887943267822e-01,1.067761412975598123e+00,1.080770281874149363e+00,8.343678140026981049e-01,1.080770281874149363e+00,8.343678140026981049e-01,7.000000000000000000e+00
2.885969633232916831e-02,7.362023189720050265e-02,6.656609394903897359e-01,5.901303783849414300e-03,6.708683371543884277e-01,5.183953493833541870e-01,3.190000355243682861e-01,8.218804330819159398e-01,7.724858372142677787e-01,7.232362387667421455e-01,8.218804330819159398e-01,7.232362387667421455e-01,7.000000000000000000e+00
3.155871826577331951e-02,7.594342924816041562e-02,7.047743813116786882e-01,6.517427804391870937e-03,6.714020371437072754e-01,5.162808746099472046e-01,3.190000355243682861e-01,1.057411990022176784e+00,1.075897126885603239e+00,8.243130552032997826e-01,1.075897126885603239e+00,8.243130552032997826e-01,7.000000000000000000e+00
3.048379441276817536e-02,7.343711212397580068e-02,6.930197403747579976e-01,6.611904876092507613e-03,6.708683371543884277e-01,5.176179260015487671e-01,3.179999887943267822e-01,1.021680487297423223e+00,1.034223781279622889e+00,8.363965513305338106e-01,1.034223781279622889e+00,8.363965513305338106e-01,7.000000000000000000e+00
2.290851987369503864e-02,6.653772822984616031e-02,6.072460881749216499e-01,3.961073700766959069e-03,6.647261977195739746e-01,5.167432278394699097e-01,3.150000274181365967e-01,1.089140045091476328e+00,1.086658165314631441e+00,8.888254268105202360e-01,1.089140045091476328e+00,8.888254268105202360e-01,7.000000000000000000e+00
1.736073474325755192e-02,6.347177466617109909e-02,5.899861605584054702e-01,3.798838552135325002e-03,6.651974916458129883e-01,5.148077607154846191e-01,3.170000016689300537e-01,1.052113384819810982e+00,1.041511625488656279e+00,9.088782683067117008e-01,1.052113384819810982e+00,9.088782683067117008e-01,7.000000000000000000e+00
2.832395802794670722e-02,6.661307023395807159e-02,6.327316809133104458e-01,4.855802108286442521e-03,6.651185750961303711e-01,5.174680054187774658e-01,3.160000145435333252e-01,1.075565187273745948e+00,1.089830258604162161e+00,8.601134357607502778e-01,1.089830258604162161e+00,8.601134357607502778e-01,7.000000000000000000e+00
2.159233470328204493e-02,6.983410823296287706e-02,6.463415968219704544e-01,4.630331623885062219e-03,6.682246625423431396e-01,5.167432278394699097e-01,3.150000274181365967e-01,1.091323368006768657e+00,1.108356096627710397e+00,8.082444119404541549e-01,1.108356096627710397e+00,8.082444119404541549e-01,7.000000000000000000e+00
3.067081590803951222e-02,7.195705453430985277e-02,6.816674941572448132e-01,5.166794823293901530e-03,6.691541373729705811e-01,5.202268660068511963e-01,3.170000016689300537e-01,1.076043663284912411e+00,1.095129619140540633e+00,8.341510917008797543e-01,1.095129619140540633e+00,8.341510917008797543e-01,7.000000000000000000e+00
3.005223568152882302e-02,7.120858684517654413e-02,6.726459560271553784e-01,5.197053076534586050e-03,6.712144017219543457e-01,5.205217748880386353e-01,3.180000483989715576e-01,1.079174590839655945e+00,1.095920715950385205e+00,8.369341277469475315e-01,1.095920715950385205e+00,8.369341277469475315e-01,7.000000000000000000e+00
3.521820967452936324e-02,7.398520873821726185e-02,7.045313109102414595e-01,5.679272930204205296e-03,6.702325344085693359e-01,5.186497271060943604e-01,3.170000016689300537e-01,1.081697881689752450e+00,1.084264792751584272e+00,8.484452049251642869e-01,1.084264792751584272e+00,8.484452049251642869e-01,7.000000000000000000e+00
3.336045489858743135e-02,7.405625786334930905e-02,7.073974835850979082e-01,5.695637568459304724e-03,6.686220765113830566e-01,5.208321958780288696e-01,3.170000016689300537e-01,1.059153389441671589e+00,1.081668363671189459e+00,8.427862246319760553e-01,1.081668363671189459e+00,8.427862246319760553e-01,7.000000000000000000e+00
9.914958729443366578e-03,6.433678737602263609e-02,6.130429510327949361e-01,4.287732588509238565e-03,6.657159626483917236e-01,5.189247727394104004e-01,3.140000402927398682e-01,1.071447867415724176e+00,1.097262681237135773e+00,7.922214620687847431e-01,1.097262681237135773e+00,7.922214620687847431e-01,7.000000000000000000e+00
2.303901630055869842e-02,5.999348910023176440e-02,5.812045189903749520e-01,4.381410675882289885e-03,6.674542427062988281e-01,5.188696980476379395e-01,3.160000145435333252e-01,1.091651978446441573e+00,1.096923177109123904e+00,8.177971314379850476e-01,1.096923177109123904e+00,8.177971314379850476e-01,7.000000000000000000e+00
2.544036363920306951e-02,6.639404225937881043e-02,6.396590958952563799e-01,5.857843041757496497e-03,6.693472564220428467e-01,5.189668983221054077e-01,3.160000145435333252e-01,1.048489948915488634e+00,1.041465398555271760e+00,8.451638484230938886e-01,1.048489948915488634e+00,8.451638484230938886e-01,7.000000000000000000e+00
2.862996202254645961e-02,7.016415476925959294e-02,6.536433842587494603e-01,5.431311909460265208e-03,6.697005033493041992e-01,5.214464068412780762e-01,3.160000145435333252e-01,1.075533842120274919e+00,1.086023456618273819e+00,8.253855135263020726e-01,1.086023456618273819e+00,8.253855135263020726e-01,7.000000000000000000e+00
2.781603676967676561e-02,6.770890990269660958e-02,6.701063006510804554e-01,6.155756434849482019e-03,6.714020371437072754e-01,5.207300335168838501e-01,3.170000016689300537e-01,1.067178695465138327e+00,1.068260353884491476e+00,8.021724952024671396e-01,1.068260353884491476e+00,8.021724952024671396e-01,7.000000000000000000e+00
2.871895218825784926e-02,6.839392974875448117e-02,6.684505959501839678e-01,5.845669937767705888e-03,6.719412505626678467e-01,5.222049355506896973e-01,3.170000016689300537e-01,1.080433589410969564e+00,1.066529456488426453e+00,7.967798665976506545e-01,1.080433589410969564e+00,7.967798665976506545e-01,7.000000000000000000e+00
3.044104356370569420e-02,6.961154332441769899e-02,6.972341269577028156e-01,6.467437163895037658e-03,6.689046323299407959e-01,5.207300335168838501e-01,3.150000274181365967e-01,1.064325477204315806e+00,1.062617655499034974e+00,8.361286145529598368e-01,1.064325477204315806e+00,8.361286145529598368e-01,7.000000000000000000e+00
