Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.145496463917679009e-01,7.823465536250899521e-02,5.970408898221432059e-01,1.226215874074557295e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.763041516676934650e-02,2.017022737488401718e-01,6.227323811660911979e-02,2.017022737488401718e-01,6.227323811660911979e-02
1.345461847180939585e-01,7.507608763542102104e-02,5.892635117310288662e-01,1.186494191521460413e-02,7.795445155352354050e-02,1.969858296215534210e-01,4.500001668930053711e-02,8.094274455719746575e-02,1.997478302215596746e-01,5.890447823706457253e-02,1.997478302215596746e-01,5.890447823706457253e-02
1.286403905057836305e-01,7.691507116391609056e-02,5.997125007345185388e-01,1.205603469810358555e-02,7.727084588259458542e-02,1.981593966484069824e-01,4.500001668930053711e-02,7.917788303637607328e-02,1.998501946489039394e-01,5.777526701700097522e-02,1.998501946489039394e-01,5.777526701700097522e-02
1.320705609849931184e-01,7.410985115000288947e-02,5.713625743636325804e-01,1.182788852808156800e-02,7.788712903857231140e-02,1.968812532722949982e-01,4.699999094009399414e-02,8.100703039561993335e-02,1.997678180135175063e-01,5.199778012760625234e-02,1.997678180135175063e-01,5.199778012760625234e-02
1.328942465209193291e-01,7.560070772606038159e-02,5.850048412180046675e-01,1.196197097273840604e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.499998688697814941e-02,8.295786933580266698e-02,2.014910562374643832e-01,5.608370908121562692e-02,2.014910562374643832e-01,5.608370908121562692e-02
1.275743153808883978e-01,8.040145135650650365e-02,6.043599855104833107e-01,1.201898193054764565e-02,7.893294934183359146e-02,1.976660862565040588e-01,4.699999094009399414e-02,8.398287592434783289e-02,1.994619155489492646e-01,6.269705973160688561e-02,1.994619155489492646e-01,6.269705973160688561e-02
1.378027565464801096e-01,7.975396620316026197e-02,5.935849138801232439e-01,1.189340569101140360e-02,7.890979945659637451e-02,1.977604031562805176e-01,4.699999094009399414e-02,8.248173792369641044e-02,2.007130357075295746e-01,5.621727991078429021e-02,2.007130357075295746e-01,5.621727991078429021e-02
1.121640635482762105e-01,8.308388681765264960e-02,6.054088861409890887e-01,1.220307237588189736e-02,7.757455203682184219e-02,1.973671466112136841e-01,4.499998688697814941e-02,8.244082322344876979e-02,2.014175546784751358e-01,5.781191495664206315e-02,2.014175546784751358e-01,5.781191495664206315e-02
1.029564033366345416e-01,8.012852964220244789e-02,6.007423532255519172e-01,1.228328704177865036e-02,7.824811432510614395e-02,1.974671967327594757e-01,4.499998688697814941e-02,7.944991589156669143e-02,1.987895554086040462e-01,5.869787846836704848e-02,1.987895554086040462e-01,5.869787846836704848e-02
1.290357027854458216e-01,7.811103118967877013e-02,6.076891807156498126e-01,1.208807323141230204e-02,7.821155991405248642e-02,1.963970102369785309e-01,4.300001263618469238e-02,8.280684604109075919e-02,1.998343756909560787e-01,5.669741749443146794e-02,1.998343756909560787e-01,5.669741749443146794e-02
1.301020368087915380e-01,7.572819194131907850e-02,5.833502944995833106e-01,1.203050461178407742e-02,7.821155991405248642e-02,1.967749819159507751e-01,4.300001263618469238e-02,8.411270035041097659e-02,2.012526039214701801e-01,5.116116958173766438e-02,2.012526039214701801e-01,5.116116958173766438e-02
1.273574071345023595e-01,7.835645105875409244e-02,6.080892935325182824e-01,1.200512756811817142e-02,7.768089417368173599e-02,1.972625479102134705e-01,4.500001668930053711e-02,8.467008096715711307e-02,2.021328635453863432e-01,5.526802027699595499e-02,2.021328635453863432e-01,5.526802027699595499e-02
1.264744801482907965e-01,7.919342284862657122e-02,5.996645076644511185e-01,1.173483464981930208e-02,7.770069316029548645e-02,1.968692913651466370e-01,4.500001668930053711e-02,8.311935164334152693e-02,2.010159640952093318e-01,5.438582447673789844e-02,2.010159640952093318e-01,5.438582447673789844e-02
1.156265508792052449e-01,7.898627389062094772e-02,6.016630128054383242e-01,1.207403032155456371e-02,7.604071684181690216e-02,1.974671967327594757e-01,4.600000381469726562e-02,7.875114372661486117e-02,1.982541481731616151e-01,5.819626205311312361e-02,1.982541481731616151e-01,5.819626205311312361e-02
1.243105012864424708e-01,7.943438932999213886e-02,6.085561704763607915e-01,1.205011207615491395e-02,7.536213286221027374e-02,1.971801854670047760e-01,4.600000381469726562e-02,7.659512785152330916e-02,1.981392695116643288e-01,5.338922342274166066e-02,1.981392695116643288e-01,5.338922342274166066e-02
1.246645849570173076e-01,7.362314995995070110e-02,5.846902210077534745e-01,1.222880616354828781e-02,7.890979573130607605e-02,1.975615099072456360e-01,4.399999976158142090e-02,8.060827933772315990e-02,1.992250691178592825e-01,5.463413725622467965e-02,1.992250691178592825e-01,5.463413725622467965e-02
1.375332868176648571e-01,7.473036143939655596e-02,5.945299437965804179e-01,1.190426767389669502e-02,7.820806838572025299e-02,1.975615099072456360e-01,4.499998688697814941e-02,8.362697709550977188e-02,2.016177806472684575e-01,5.620400027885097405e-02,2.016177806472684575e-01,5.620400027885097405e-02
1.279497060757090465e-01,7.784971444998033119e-02,6.208373308198174012e-01,1.513845459221551532e-02,7.972013391554355621e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.629069001862024746e-02,2.020322736318238555e-01,5.413262431150622778e-02,2.020322736318238555e-01,5.413262431150622778e-02
1.368533617395276958e-01,7.824639403609937038e-02,6.150702880762679570e-01,1.513331554838173373e-02,7.906637713313102722e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.189488693270736974e-02,1.997741574180753044e-01,5.452819773769368439e-02,1.997741574180753044e-01,5.452819773769368439e-02
1.152578652299978967e-01,7.725396864953983089e-02,6.370040288181715304e-01,1.551383243942705201e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,1.013483623195463590e-01,2.050237893338761053e-01,6.374876901881176838e-02,2.050237893338761053e-01,6.374876901881176838e-02
1.165825486950501227e-01,8.012072720227342293e-02,6.415242267448709734e-01,1.543305951839457797e-02,9.577774256467819214e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.830646177313771827e-02,2.029183667995978768e-01,6.653704602764409781e-02,2.029183667995978768e-01,6.653704602764409781e-02
1.337330128016158415e-01,7.924825507298531579e-02,6.223105901692239650e-01,1.521346360065262311e-02,7.722454611212015152e-02,1.974774599075317383e-01,4.500001668930053711e-02,8.475539565855549906e-02,2.026429233317204592e-01,5.744407523883332534e-02,2.026429233317204592e-01,5.744407523883332534e-02
1.317760810056168852e-01,8.030182192069150460e-02,6.283137184506137896e-01,1.525542138760601317e-02,7.795445155352354050e-02,1.982537098228931427e-01,4.500001668930053711e-02,8.063844789709700978e-02,1.991168495529035132e-01,6.411953772886969105e-02,1.991168495529035132e-01,6.411953772886969105e-02
1.284459758699219856e-01,8.168601331087269046e-02,6.275939300220366723e-01,1.520444657282246474e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.600000381469726562e-02,8.197904472237621532e-02,2.009287465972832698e-01,5.575881125300896635e-02,2.009287465972832698e-01,5.575881125300896635e-02
1.276289344798278713e-01,8.102258956768575160e-02,6.370763758208068950e-01,1.521555161952237167e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.699999094009399414e-02,8.074744451232744591e-02,2.001916150542331352e-01,5.235166116538814141e-02,2.001916150542331352e-01,5.235166116538814141e-02
1.338389960843246740e-01,7.976611821202733710e-02,6.292998868294245041e-01,1.512571986780845458e-02,7.912897691130638123e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.150988995836039308e-02,1.995551369065848846e-01,5.375412580777116922e-02,1.995551369065848846e-01,5.375412580777116922e-02
1.355118721995268172e-01,8.176832171507276981e-02,6.195613944773922244e-01,1.507776167096980431e-02,7.912897691130638123e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.139048298729051334e-02,1.993165702074776724e-01,5.385678113931569033e-02,1.993165702074776724e-01,5.385678113931569033e-02
1.150549737792103122e-01,8.347002049107625499e-02,6.332931508015869904e-01,1.523122892264775624e-02,7.824811432510614395e-02,1.979547664523124695e-01,4.499998688697814941e-02,8.265016723470516857e-02,2.015845447961810144e-01,5.619756292604605186e-02,2.015845447961810144e-01,5.619756292604605186e-02
1.140478059458249482e-01,8.401406769177527378e-02,6.428638364127291505e-01,1.529407867674446343e-02,7.824811432510614395e-02,1.973671466112136841e-01,4.499998688697814941e-02,8.212292308699765953e-02,2.008610638701229523e-01,5.599714068941596956e-02,2.008610638701229523e-01,5.599714068941596956e-02
1.257617037964873230e-01,8.052306546833430667e-02,6.365234567192747939e-01,1.517684212268569262e-02,7.821155991405248642e-02,1.967749819159507751e-01,4.300001263618469238e-02,8.211616002820795734e-02,2.001161173647834635e-01,5.002731894875522833e-02,2.001161173647834635e-01,5.002731894875522833e-02
1.259095128191024260e-01,8.043303495739997921e-02,6.254181819830287870e-01,1.535554865633705773e-02,7.821155991405248642e-02,1.966806687414646149e-01,4.300001263618469238e-02,8.380868759471393759e-02,2.007472221268588042e-01,5.272048497319270499e-02,2.007472221268588042e-01,5.272048497319270499e-02
1.198723015680859538e-01,8.292657237891858102e-02,6.368600957042411803e-01,1.548302737832442377e-02,7.837927527725696564e-02,1.972625479102134705e-01,4.500001668930053711e-02,8.342266186153884933e-02,2.011695985155678434e-01,5.154202944401586883e-02,2.011695985155678434e-01,5.154202944401586883e-02
1.178365413301312864e-01,8.257536549558157357e-02,6.315627549907025795e-01,1.551687232349798808e-02,7.837927527725696564e-02,1.965806186199188232e-01,4.500001668930053711e-02,8.122705435347152281e-02,1.990362522861674477e-01,5.407283509954996514e-02,1.990362522861674477e-01,5.407283509954996514e-02
1.217841361482343565e-01,8.401151224927513872e-02,6.417509524179695335e-01,1.512092633912720530e-02,7.604071684181690216e-02,1.978604532778263092e-01,4.600000381469726562e-02,8.302697795495762867e-02,1.989963838462607271e-01,5.553078594439386784e-02,1.989963838462607271e-01,5.553078594439386784e-02
1.228368331781242995e-01,8.166533114385179926e-02,6.398082096238849603e-01,1.514910371816836042e-02,7.667970098555088043e-02,1.974671967327594757e-01,4.399999976158142090e-02,7.896822982534430768e-02,1.993192468567621667e-01,6.456675117084764715e-02,1.993192468567621667e-01,6.456675117084764715e-02
1.263545129981078485e-01,8.008218836704818211e-02,6.260402403908427171e-01,1.530490056433274869e-02,7.890979573130607605e-02,1.975615099072456360e-01,4.499998688697814941e-02,8.296019015242886430e-02,2.009346367173479586e-01,5.232579803401959939e-02,2.009346367173479586e-01,5.232579803401959939e-02
1.267035601152080582e-01,7.782758867644344603e-02,6.194732523349878450e-01,1.517598724023448697e-02,7.822954282164573669e-02,1.974671967327594757e-01,4.499998688697814941e-02,8.189895133436464469e-02,1.983267457904132613e-01,5.602541729148824423e-02,1.983267457904132613e-01,5.602541729148824423e-02
1.214819163862671525e-01,7.906522784987263242e-02,6.666831235654419041e-01,2.064881903089051812e-02,7.974160835146903992e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.880505713283380620e-02,2.031813968853787011e-01,5.403748646895722985e-02,2.031813968853787011e-01,5.403748646895722985e-02
1.214733880255993298e-01,7.938147970472325676e-02,6.665340554261699468e-01,2.065778109240566651e-02,7.974160835146903992e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.860799421092380168e-02,2.032225869367481619e-01,5.296741639567059678e-02,2.032225869367481619e-01,5.296741639567059678e-02
1.076470666797609138e-01,7.934870330026126684e-02,6.817107707351981460e-01,2.126867806646419445e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,1.002313940948584559e-01,2.040460830492957789e-01,6.674797070052296277e-02,2.040460830492957789e-01,6.674797070052296277e-02
