Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.365222566046685460e-01,7.794014829870772598e-02,5.872439049886510887e-01,1.235270537225771105e-02,1.158824600279331207e-01,2.031060643494129181e-01,5.700001120567321777e-02,1.385276423771502619e-01,2.149408532010982642e-01,8.703025502718642059e-02,2.149408532010982642e-01,8.703025502718642059e-02
1.365972898200892016e-01,7.255738347473131289e-02,5.801121016211253645e-01,1.186518252649865907e-02,1.172518245875835419e-01,2.026352435350418091e-01,5.599999427795410156e-02,1.404071665989772288e-01,2.166326368840249539e-01,8.938432584394473412e-02,2.166326368840249539e-01,8.938432584394473412e-02
1.277912184634360793e-01,7.569212812308262484e-02,5.810637738640511696e-01,1.221345345731703926e-02,7.721021398901939392e-02,1.972744986414909363e-01,4.299998283386230469e-02,8.212400747416412350e-02,2.010340681991147904e-01,5.417923785923117741e-02,2.010340681991147904e-01,5.417923785923117741e-02
1.259428076755180481e-01,7.596109762072739136e-02,5.934235244770869055e-01,1.206842195529971712e-02,7.788712903857231140e-02,1.975615099072456360e-01,2.650000154972076416e-01,1.884370042904682518e-01,2.307299242619745838e-01,2.815949215812099116e-01,2.815949215812099116e-01,1.884370042904682518e-01
1.259597358632670305e-01,8.111297547376791761e-02,5.865956101341004425e-01,1.215421286552047057e-02,1.235613226890563965e-01,2.019936330616474152e-01,2.640000283718109131e-01,2.027229814550161879e-01,2.387114990641618917e-01,2.930593769657940939e-01,2.930593769657940939e-01,2.027229814550161879e-01
1.167229234846898639e-01,8.151515054955540962e-02,5.923171762265605489e-01,1.203420715922362723e-02,1.230950839817523956e-01,2.025795765221118927e-01,4.699999094009399414e-02,1.360679824007356986e-01,2.091907076640608099e-01,7.409526415203304683e-02,2.091907076640608099e-01,7.409526415203304683e-02
1.063139067482685440e-01,8.121235939693791095e-02,5.919483384041254181e-01,1.219004637260171810e-02,7.774029020220041275e-02,1.973671466112136841e-01,2.640000283718109131e-01,1.259503665611490519e-01,2.410306462388425996e-01,2.867797882603693171e-01,2.867797882603693171e-01,1.259503665611490519e-01
1.042143470523587689e-01,7.844299871844280514e-02,6.037361429246668187e-01,1.208269308026706235e-02,7.774029020220041275e-02,1.970739252865314484e-01,2.640000283718109131e-01,2.239861197853728059e-01,2.295156335087741584e-01,2.852350620507448364e-01,2.852350620507448364e-01,2.239861197853728059e-01
1.356856433572522780e-01,7.389745273075995491e-02,5.806869574914540477e-01,1.181525491941672057e-02,1.168201304972171783e-01,2.037593759596347809e-01,5.200001597404479980e-02,1.426929475503012634e-01,2.212192581963749738e-01,8.274067376945259955e-02,2.212192581963749738e-01,8.274067376945259955e-02
1.385017848311209387e-01,7.107650653133312790e-02,5.819107357353361376e-01,1.190816495216754506e-02,1.161465682089328766e-01,2.038536891341209412e-01,5.200001597404479980e-02,1.338279882721639114e-01,2.124877893798871598e-01,8.294986446628527244e-02,2.124877893798871598e-01,8.294986446628527244e-02
